                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6396,                  1.131,                 1.0386,                0.07671,                0.72801,                0.14662,                0.10671,                0.99835,                 158.23,                 0.6319,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.6447,                 1.1016,                 1.0385,                0.07712,                0.61153,                0.11159,                0.07384,                 1.0582,                 176.26,                0.65215,               0.009307,               0.009307,               0.009307
                     37,                 1.6367,                 1.1233,                 1.0315,                0.07427,                0.80412,                0.10635,                0.07585,                  1.027,                 175.08,                0.64206,              0.0092872,              0.0092872,              0.0092872
                     38,                  1.631,                 1.1023,                 1.0333,                0.08892,                0.52375,                  0.149,                0.10228,                 1.0412,                 230.48,                0.64069,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.6307,                 1.0956,                 1.0207,                0.08124,                0.77231,                0.13055,                0.09198,                0.98861,                 179.66,                0.63549,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.6311,                 1.1077,                 1.0346,                0.09119,                0.75379,                0.14408,                0.09376,                  1.006,                 223.05,                0.63835,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.6126,                 1.0974,                 1.0266,                0.07265,                0.81345,                0.13237,                0.09047,                  1.028,                 179.91,                0.63602,               0.009208,               0.009208,               0.009208
                     42,                 1.6195,                 1.0885,                 1.0244,                0.07463,                0.74567,                0.10405,                0.07162,                 1.0089,                 164.62,                0.62973,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.6097,                 1.0756,                 1.0223,                0.07487,                0.78005,                0.10255,                0.07296,                0.97176,                 205.83,                0.62753,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.6122,                 1.0836,                  1.024,                 0.0781,                0.72635,                0.11509,                0.08272,                0.99459,                 195.41,                0.63333,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.6019,                 1.0716,                 1.0228,                0.07575,                0.74816,                0.10658,                0.07437,                 1.0193,                 181.38,                0.64157,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.6007,                 1.0606,                 1.0214,                0.07084,                0.79248,                0.11044,                0.07737,                  1.016,                 181.51,                0.63597,               0.009109,               0.009109,               0.009109
                     47,                 1.6142,                 1.0829,                 1.0226,                0.07376,                0.75312,                0.13046,                 0.0988,                 1.0162,                  202.1,                0.63997,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.6036,                   1.06,                 1.0233,                 0.0749,                0.79197,                 0.1231,                0.09266,                0.99602,                 195.36,                0.63452,              0.0090694,              0.0090694,              0.0090694
                     49,                  1.583,                 1.0578,                 1.0159,                0.07672,                0.76466,                0.10236,                0.06713,                0.98053,                 206.87,                0.62935,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.5823,                 1.0318,                 1.0177,                0.07639,                0.80688,                0.12445,                0.09042,                 0.9992,                  187.4,                0.62996,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.6005,                 1.0441,                 1.0147,                0.30068,                0.31177,                0.22844,                0.18797,                0.98682,                  184.5,                0.62625,                0.00901,                0.00901,                0.00901
                     52,                 1.5852,                 1.0653,                 1.0135,                0.07549,                0.78257,                0.15046,                0.11413,                 1.0147,                 213.68,                 0.6367,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.5832,                 1.0505,                  1.016,                0.07398,                0.79881,                0.12458,                0.08434,                 1.0067,                  187.2,                0.63611,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.5776,                 1.0413,                 1.0104,                0.07645,                0.75126,                0.09791,                0.06795,                  1.017,                 164.16,                0.63212,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.5696,                 1.0289,                 1.0075,                0.08933,                0.81057,                0.14317,                0.10417,                 1.0077,                 194.33,                0.63442,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.5666,                 1.0224,                 1.0139,                0.07485,                0.78867,                0.12475,                0.09557,                0.98964,                 188.69,                0.62712,               0.008911,               0.008911,               0.008911
                     57,                 1.5626,                 1.0288,                 1.0115,                0.09055,                 0.8927,                0.13227,                0.08857,                0.97404,                 185.67,                0.63228,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.5751,                 1.0315,                 1.0127,                0.07766,                0.89933,                0.13427,                0.09673,                0.99991,                 176.84,                0.63261,              0.0088714,              0.0088714,              0.0088714
