                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.7062,                 1.0695,                 1.1016,                 1.9953,                 1.3882,                 1.0684,                0.87696,                0.78906,                0.87461,                0.57017,                 1.6768,                 1.0073,                 1.0941,                  1.967,                 1.2553,                 1.0832,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.6982,                 1.0568,                 1.0942,                 1.9947,                 1.3795,                 1.0614,                0.75195,                0.85836,                0.85974,                0.56588,                 1.6538,                   1.02,                 1.0891,                 1.9013,                 1.3063,                 1.0638,              0.0095644,              0.0095644,              0.0095644
                     25,                  1.697,                 1.0473,                 1.1025,                 1.9894,                 1.3633,                 1.0671,                0.80995,                0.84408,                0.87178,                0.58169,                 1.6567,                 1.0405,                 1.0878,                 1.9103,                 1.3474,                  1.071,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.6764,                 1.0314,                 1.0904,                 1.9677,                 1.3394,                 1.0606,                 0.8607,                0.78001,                 0.8771,                0.58195,                 1.6687,                0.98205,                 1.0888,                 1.9103,                 1.2801,                 1.0702,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.6817,                 1.0138,                 1.0883,                 1.9682,                 1.3225,                 1.0575,                0.82885,                 0.8171,                0.86789,                0.56896,                 1.6477,                 0.9696,                 1.0882,                 1.8949,                 1.2716,                 1.0684,               0.009505,               0.009505,               0.009505
                     28,                 1.6721,                 1.0099,                 1.0871,                 1.9644,                 1.3108,                  1.056,                0.84222,                0.75233,                0.86368,                0.55666,                 1.6533,                0.97491,                 1.0927,                 1.9034,                 1.2671,                 1.0644,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.6598,                0.99966,                 1.0897,                 1.9481,                 1.3017,                 1.0621,                0.87336,                0.79797,                0.88359,                0.57656,                 1.6489,                0.99518,                 1.0864,                  1.882,                 1.2947,                 1.0632,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.6601,                 0.9857,                 1.0786,                 1.9675,                  1.288,                 1.0512,                0.86753,                0.83701,                 0.9025,                0.60332,                 1.6516,                0.93766,                 1.0899,                 1.8884,                 1.1815,                  1.066,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.6566,                0.97817,                 1.0801,                 1.9471,                 1.2628,                 1.0522,                0.90505,                0.83819,                 0.8989,                0.58843,                 1.6588,                0.99791,                 1.0899,                 1.8991,                 1.2932,                 1.0648,              0.0094258,              0.0094258,              0.0094258
                     32,                  1.653,                0.96896,                 1.0809,                 1.9528,                 1.2539,                 1.0517,                0.80172,                0.88645,                0.90573,                0.59242,                 1.6167,                0.92736,                 1.0823,                 1.8969,                 1.1747,                 1.0652,               0.009406,               0.009406,               0.009406
                     33,                 1.6438,                0.95856,                 1.0776,                 1.9464,                 1.2362,                 1.0506,                 0.8842,                0.82428,                0.89904,                  0.585,                 1.6666,                0.94379,                 1.0899,                 1.9062,                 1.1836,                  1.071,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.6502,                0.95874,                 1.0808,                 1.9437,                 1.2273,                 1.0543,                0.90679,                0.83572,                0.90209,                 0.5994,                 1.6467,                0.94925,                 1.0827,                 1.8802,                 1.2279,                 1.0647,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.6424,                0.94599,                 1.0741,                  1.936,                  1.217,                  1.049,                 0.8697,                0.86165,                0.91108,                0.60462,                 1.6622,                0.90811,                 1.0852,                 1.8983,                 1.1629,                 1.0658,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.6271,                0.93848,                 1.0701,                 1.9245,                 1.2038,                 1.0457,                0.87746,                 0.8862,                 0.9074,                0.59908,                 1.6273,                0.91959,                 1.0763,                 1.8711,                  1.167,                  1.057,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.6245,                0.93814,                 1.0727,                 1.9208,                 1.2096,                 1.0484,                0.89722,                0.80998,                0.90724,                0.59853,                 1.6325,                0.91254,                 1.0723,                 1.8546,                 1.1475,                 1.0499,               0.009307,               0.009307,               0.009307
                     38,                 1.6099,                0.92193,                  1.068,                 1.9272,                 1.1772,                 1.0415,                0.87454,                 0.8408,                0.91146,                0.60573,                 1.6231,                0.91027,                 1.0757,                 1.8862,                 1.1694,                 1.0616,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.6152,                0.92758,                 1.0682,                 1.9223,                 1.1918,                 1.0466,                0.89168,                0.82803,                0.91796,                0.62893,                  1.621,                0.90892,                 1.0703,                 1.8576,                 1.1509,                 1.0536,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.6189,                0.92211,                  1.066,                 1.9178,                 1.1839,                 1.0417,                0.91395,                0.85285,                0.91709,                0.61315,                 1.6226,                0.87812,                 1.0759,                 1.8554,                 1.1414,                  1.059,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.6043,                0.91307,                 1.0603,                 1.9103,                 1.1667,                 1.0377,                0.90728,                0.87253,                0.91664,                0.61107,                 1.6214,                0.89059,                 1.0716,                 1.8524,                 1.1211,                 1.0562,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.6151,                0.90675,                 1.0635,                 1.9162,                 1.1573,                 1.0379,                0.88042,                0.87097,                0.91601,                0.63029,                 1.6335,                0.88382,                 1.0766,                 1.8559,                  1.127,                 1.0583,               0.009208,               0.009208,               0.009208
                     43,                 1.6061,                0.90177,                 1.0656,                 1.9131,                 1.1412,                 1.0432,                0.90837,                0.84575,                0.92696,                0.63162,                 1.6123,                0.86104,                 1.0754,                   1.86,                  1.114,                 1.0626,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.6009,                0.89634,                 1.0572,                 1.9086,                 1.1419,                 1.0358,                0.89163,                0.88976,                0.92971,                 0.6301,                 1.6222,                0.86137,                 1.0766,                  1.881,                 1.0836,                 1.0591,              0.0091684,              0.0091684,              0.0091684
