                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4729,                 3.7631,                 1.3351,                 2.7771,                 4.3955,                   1.21,                 0.6651,                0.33223,                0.30873,                0.17913,                 2.2337,                 2.4061,                 1.1958,                 2.5352,                 3.1792,                 1.1096,             0.00019552,             0.00019552,             0.00019552
                      2,                 2.2504,                 2.2317,                 1.1674,                 2.5872,                 3.0291,                  1.089,                0.54954,                0.43887,                0.40668,                0.25256,                  2.073,                 1.9421,                 1.1288,                 2.4461,                 2.8201,                  1.076,             0.00038377,             0.00038377,             0.00038377
                      3,                 2.1669,                  1.942,                 1.1389,                 2.5128,                 2.7331,                 1.0679,                0.57836,                0.50296,                0.48632,                0.30422,                 2.0095,                 1.6919,                 1.1036,                 2.4175,                 2.5132,                 1.0438,             0.00056425,             0.00056425,             0.00056425
                      4,                   2.07,                 1.7408,                 1.1163,                 2.4453,                  2.488,                 1.0532,                0.64066,                0.55127,                0.55891,                0.34993,                 1.9709,                 1.5616,                 1.0884,                 2.3325,                 2.2683,                 1.0291,             0.00055307,             0.00055307,             0.00055307
                      5,                 2.0451,                  1.634,                 1.1006,                 2.4318,                 2.3381,                 1.0448,                0.70603,                0.52108,                0.58464,                0.36773,                 1.9127,                 1.4403,                 1.0805,                 2.3151,                 2.1401,                 1.0174,             0.00055307,             0.00055307,             0.00055307
                      6,                  1.992,                 1.5236,                 1.0897,                 2.3876,                 2.1993,                 1.0319,                0.74007,                0.56621,                0.61269,                0.39219,                 1.8834,                  1.399,                 1.0685,                 2.2811,                 2.0179,                 1.0203,             0.00054143,             0.00054143,             0.00054143
                      7,                 1.9576,                 1.4654,                 1.0783,                 2.3624,                 2.1117,                 1.0233,                 0.7248,                0.60105,                0.63024,                0.39345,                 1.8836,                 1.3499,                  1.062,                 2.2769,                 1.9504,                 1.0091,             0.00052979,             0.00052979,             0.00052979
                      8,                 1.9269,                 1.3863,                 1.0644,                 2.3281,                 2.0019,                 1.0173,                0.74793,                0.59496,                0.67565,                0.42117,                 1.8402,                 1.2926,                 1.0454,                 2.2735,                 1.8665,                 1.0004,             0.00051815,             0.00051815,             0.00051815
                      9,                 1.9192,                   1.36,                 1.0634,                 2.3241,                 1.9494,                 1.0128,                0.72883,                0.60366,                0.71424,                0.45176,                 1.8364,                 1.2699,                 1.0484,                 2.2268,                 1.8004,                 1.0017,              0.0005065,              0.0005065,              0.0005065
                     10,                 1.8948,                 1.3207,                 1.0557,                 2.2983,                  1.891,                 1.0102,                0.72096,                0.63192,                0.72403,                0.46777,                 1.8124,                 1.2042,                 1.0413,                  2.193,                 1.7675,                0.99859,             0.00049486,             0.00049486,             0.00049486
