                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.069,                 1.8868,                0.91812,                  1.054,                 0.7556,                0.60801,                0.67587,                0.49508,                0.73923,                0.59723,                0.65502,                0.42147,                 0.9689,                 1.7761,                0.81168,                 1.0505,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.0663,                 1.8772,                0.90848,                 1.0498,                0.77858,                0.59992,                0.68076,                0.50048,                 0.7661,                0.59418,                0.66478,                0.42778,                 0.9625,                 1.7656,                0.80593,                 1.0469,               0.008812,               0.008812,               0.008812
                     26,                 1.0619,                 1.8649,                0.89883,                 1.0501,                0.76906,                0.61542,                 0.6839,                0.50492,                0.75857,                0.59982,                0.66226,                 0.4281,                0.95862,                  1.758,                0.79792,                 1.0442,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.0566,                 1.8668,                 0.8944,                 1.0483,                0.76742,                0.61403,                0.68699,                0.50478,                0.76825,                0.59515,                0.66316,                0.42991,                0.95589,                 1.7563,                0.79443,                 1.0423,               0.008713,               0.008713,               0.008713
                     28,                 1.0563,                 1.8601,                 0.8951,                 1.0458,                0.76816,                0.61757,                0.68774,                0.50819,                0.75314,                0.60755,                0.66706,                0.43252,                0.95242,                 1.7539,                0.79069,                 1.0395,              0.0086635,              0.0086635,              0.0086635
                     29,                  1.057,                 1.8558,                0.88671,                 1.0443,                0.78111,                0.62057,                0.69073,                0.51062,                0.76809,                0.61124,                0.67122,                0.43531,                0.95005,                 1.7462,                0.78627,                 1.0371,               0.008614,               0.008614,               0.008614
                     30,                 1.0536,                 1.8534,                 0.8855,                 1.0432,                0.78837,                0.61373,                0.69225,                0.51724,                0.76976,                0.60332,                0.67115,                0.43555,                0.94694,                 1.7449,                0.78285,                 1.0347,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.0487,                 1.8473,                0.87993,                 1.0421,                0.79133,                0.61491,                0.69416,                0.51613,                0.77341,                0.60581,                0.67265,                0.43687,                0.94137,                  1.739,                0.77712,                 1.0346,               0.008515,               0.008515,               0.008515
                     32,                 1.0459,                  1.852,                0.87886,                 1.0422,                0.78727,                0.62243,                0.69853,                0.52111,                0.76848,                0.61125,                0.67593,                0.44081,                0.93737,                 1.7319,                0.77004,                 1.0316,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.0465,                 1.8423,                0.87422,                 1.0394,                0.76367,                0.63389,                0.69887,                0.52221,                0.74932,                0.62301,                0.67938,                0.44202,                0.93706,                 1.7298,                0.77006,                 1.0306,               0.008416,               0.008416,               0.008416
                     34,                 1.0463,                 1.8429,                0.87062,                 1.0401,                0.78037,                0.62208,                0.70132,                0.52458,                0.76521,                0.61189,                0.67977,                0.44503,                0.93436,                 1.7248,                0.76666,                 1.0296,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.0385,                  1.835,                 0.8614,                 1.0359,                0.77711,                0.63046,                0.70587,                 0.5294,                0.76632,                0.61847,                0.68567,                0.44745,                0.93137,                 1.7227,                0.76269,                 1.0273,               0.008317,               0.008317,               0.008317
