                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2593,                 3.6019,                 1.3288,                 2.4175,                 4.6206,                 1.2031,                0.64083,                0.29541,                0.31425,                0.18583,                 2.0937,                 2.2634,                 1.1934,                 2.1282,                 3.4434,                 1.1065,             0.00019503,             0.00019503,             0.00019503
                      2,                  2.071,                 2.1283,                 1.1701,                 2.2279,                 3.2391,                 1.0943,                0.60417,                0.46325,                0.47052,                 0.2922,                 1.9525,                 1.8608,                 1.1476,                 2.0225,                  2.959,                 1.0858,              0.0003891,              0.0003891,              0.0003891
                      3,                  1.981,                 1.8113,                 1.1444,                 2.1782,                 2.8541,                 1.0821,                0.59643,                0.48022,                0.49978,                0.31983,                 1.9145,                 1.8221,                 1.1308,                 2.0451,                  2.804,                 1.0785,             0.00058122,             0.00058122,             0.00058122
                      4,                 1.9167,                 1.6486,                 1.1307,                 2.1312,                 2.5419,                 1.0708,                0.68892,                 0.5756,                0.58653,                0.34723,                 1.8791,                 1.5635,                  1.109,                 2.0215,                 2.3493,                 1.0718,             0.00057927,             0.00057927,             0.00057927
                      5,                 1.8851,                 1.5333,                 1.1183,                 2.1108,                 2.2824,                 1.0667,                0.71539,                0.54589,                0.65371,                0.39568,                 1.8375,                 1.4311,                 1.1055,                  1.972,                 2.0961,                 1.0643,             0.00057927,             0.00057927,             0.00057927
                      6,                 1.8557,                  1.447,                 1.1073,                 2.0866,                  2.143,                 1.0572,                 0.6776,                0.62781,                0.65978,                0.42109,                 1.8189,                 1.3584,                 1.1074,                 1.9504,                 1.9566,                 1.0621,             0.00057636,             0.00057636,             0.00057636
                      7,                 1.8233,                 1.3693,                 1.0977,                 2.0722,                 1.9859,                  1.051,                0.70969,                0.62943,                0.68699,                0.42458,                 1.8502,                 1.3719,                 1.1045,                 1.9725,                 1.9331,                 1.0674,             0.00057345,             0.00057345,             0.00057345
                      8,                 1.8009,                 1.3015,                 1.0926,                 2.0491,                  1.871,                  1.045,                 0.7969,                0.60667,                0.71473,                0.45151,                 1.7933,                 1.2468,                 1.0891,                 1.9617,                 1.7468,                 1.0537,             0.00057054,             0.00057054,             0.00057054
                      9,                 1.7767,                 1.2472,                 1.0862,                  2.036,                 1.7801,                 1.0423,                 0.7027,                0.65828,                0.71669,                0.44006,                 1.7625,                 1.3044,                 1.0837,                 1.9668,                 1.7036,                 1.0544,             0.00056763,             0.00056763,             0.00056763
                     10,                 1.7772,                 1.2218,                 1.0896,                 2.0236,                 1.7262,                 1.0436,                0.65659,                0.73503,                0.75734,                0.48102,                  1.763,                 1.1735,                 1.0747,                 1.9162,                 1.6348,                 1.0385,             0.00056472,             0.00056472,             0.00056472
                     11,                 1.7597,                 1.1725,                 1.0748,                 2.0102,                 1.6449,                 1.0324,                0.72686,                0.74479,                0.80177,                0.50366,                 1.7423,                 1.1483,                 1.0668,                 1.8976,                 1.5829,                  1.036,              0.0005618,              0.0005618,              0.0005618
                     12,                 1.7477,                 1.1521,                 1.0697,                 2.0095,                 1.6088,                 1.0292,                0.79515,                 0.7214,                0.79859,                0.51019,                 1.7416,                 1.1425,                 1.0666,                 1.9146,                 1.5496,                 1.0366,             0.00055889,             0.00055889,             0.00055889
                     13,                 1.7421,                 1.1336,                 1.0691,                 2.0076,                 1.5838,                 1.0289,                0.74552,                0.77065,                  0.817,                 0.5205,                 1.7418,                 1.1077,                 1.0674,                 1.9237,                 1.4839,                  1.033,             0.00055598,             0.00055598,             0.00055598
                     14,                 1.7361,                 1.0991,                 1.0679,                 2.0066,                 1.5285,                 1.0303,                0.81728,                0.75043,                0.83025,                0.53755,                 1.7087,                 1.0594,                 1.0556,                 1.8755,                 1.4446,                  1.032,             0.00055307,             0.00055307,             0.00055307
                     15,                 1.7127,                 1.0739,                  1.057,                 1.9833,                  1.499,                 1.0224,                0.80528,                0.76986,                0.84417,                0.55479,                 1.7093,                 1.0342,                 1.0536,                 1.8754,                 1.3919,                 1.0261,             0.00055016,             0.00055016,             0.00055016
                     16,                 1.6976,                 1.0546,                 1.0512,                 1.9735,                 1.4758,                 1.0168,                0.78081,                0.83939,                0.85947,                0.55675,                 1.6863,                 1.0206,                 1.0469,                 1.8546,                 1.3605,                 1.0209,             0.00054725,             0.00054725,             0.00054725
                     17,                 1.7023,                 1.0426,                  1.055,                 1.9752,                 1.4503,                 1.0187,                0.83324,                0.70094,                0.80844,                0.52334,                 1.7468,                 1.1033,                 1.0597,                 1.9267,                 1.5252,                  1.032,             0.00054434,             0.00054434,             0.00054434
